date,time,download,upload,ping
2021-11-14,10:49:51.788250,108681211.96160254,15075134.749223337,24.146
2021-11-14,10:55:10.548550,285313877.6108465,8095216.922161431,33.147
2021-11-14,11:09:01.572226,189200821.49717247,15190515.699486608,21.028
2021-11-14,11:10:00.295525,N/A,N/A,N/A
2021-11-14,11:10:47.169566,321234243.6346595,15809113.358000146,16.74
2021-11-14,11:11:33.436190,251417251.23248237,16745256.282903543,17.64
2021-11-14,11:12:03.658484,253104738.21684963,14848259.704907143,20.469
2021-11-14,11:19:50.349057,340142532.412838,14293682.542524263,19.956
2021-11-14,11:31:52.214313,256800388.32006,12747129.084771601,22.228
2021-11-14,11:42:10.800945,N/A,N/A,N/A
2021-11-14,11:42:38.088848,362657537.74772877,16104887.15346355,16.475
